treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,generalized_trust,0,-0.221684043790774,-0.3381733395236,-0.105194748057948,-0.319444942510618,-0.12392314507093
unemployed,generalized_trust,1,-0.171578426134119,-0.319229709497563,-0.0239271427706743,-0.295491289268384,-0.0476655629998534
unemployed,generalized_trust,2,-0.169501488024638,-0.325136507392712,-0.013866468656564,-0.300114513624858,-0.038888462424418
unemployed,generalized_trust,3,-0.0706709217687535,-0.221056422473809,0.0797145789363017,-0.196878412430207,0.0555365688926996
income_cat_decrease,generalized_trust,0,-0.0317225344144982,-0.108365053620301,0.0449199847913047,-0.0960429641207342,0.0325978952917378
income_cat_decrease,generalized_trust,1,0.0269221509306692,-0.0594821880151424,0.113326489876481,-0.0455906561517092,0.0994349580130475
income_cat_decrease,generalized_trust,2,0.0633801460955639,-0.0246775922045783,0.151437884395706,-0.0105202374658834,0.137280529657011
income_cat_decrease,generalized_trust,3,0.0649733008719857,-0.0192765969903073,0.149223198734279,-0.00573144225705917,0.135678044001031
income_cat_2p_decrease,generalized_trust,0,-0.1955556265624,-0.32534430992778,-0.0657669431970197,-0.304477723220671,-0.0866335299041288
income_cat_2p_decrease,generalized_trust,1,-0.0374175301886355,-0.189051944209572,0.114216883832301,-0.164673141944955,0.0898380815676842
income_cat_2p_decrease,generalized_trust,2,-0.0648048014723308,-0.231980340179588,0.102370737234927,-0.205102936208071,0.0754933332634095
income_cat_2p_decrease,generalized_trust,3,-0.0601456780731796,-0.198019190750072,0.0777278346037127,-0.175852777374979,0.0555614212286197
income_hh_25p_decrease,generalized_trust,0,-0.0613015883596984,-0.164723481307474,0.0421203045880773,-0.148095976962332,0.0254928002429354
income_hh_25p_decrease,generalized_trust,1,-0.0114714617070331,-0.12838657766905,0.105443654254983,-0.109589720028348,0.0866467966142818
income_hh_25p_decrease,generalized_trust,2,0.0811799596831507,-0.036566872221105,0.198926791587406,-0.0176362966600548,0.179996216026356
income_hh_25p_decrease,generalized_trust,3,-0.0798551422611498,-0.180471361857592,0.0207610773352923,-0.164294935562858,0.0045846510405579
