treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,little_concern_for_others,0,0.322649626775577,0.191080366774485,0.454218886776668,0.212233223099209,0.433066030451944
unemployed,little_concern_for_others,1,-0.0511761505476421,-0.179742448817233,0.0773901477219487,-0.159072389295156,0.0567200881998713
unemployed,little_concern_for_others,2,-0.038700538884534,-0.174731953782412,0.0973308760133436,-0.152861700997226,0.0754606232281579
unemployed,intersted_in_others,0,-0.0279334009596029,-0.120494521872508,0.0646277199533018,-0.105613142347307,0.0497463404281011
unemployed,intersted_in_others,1,-0.0369687814469868,-0.115836392023315,0.0418988291293414,-0.103156566696476,0.0292190038025022
unemployed,intersted_in_others,2,-0.00213298234452219,-0.0775326312495182,0.0732666665604738,-0.0654103624140108,0.0611443977249664
unemployed,comfy_around_people,0,-0.144737185783478,-0.216503008115175,-0.0729713634517811,-0.204964962459256,-0.0845094091076999
unemployed,comfy_around_people,1,0.0642625588725821,-0.019312359690735,0.147837477435899,-0.00587572377208898,0.134400841517253
unemployed,comfy_around_people,2,0.036401895053187,-0.0410188445312594,0.113822634637633,-0.0285716377827372,0.101375427889111
unemployed,insult_people,0,0.0549657725055605,-0.0356099969391264,0.145541541950247,-0.0210478094072601,0.130979354418381
unemployed,insult_people,1,0.0447456275296263,-0.0389516998846588,0.128442954943911,-0.0254953838611206,0.114986638920373
unemployed,insult_people,2,-0.0971206567590656,-0.181245494699645,-0.0129958188184859,-0.167720446293331,-0.0265208672248005
unemployed,sympathisze_w_others_feelings,0,-0.110945594511838,-0.211089625728157,-0.0108015632955196,-0.194989114833136,-0.0269020741905408
unemployed,sympathisze_w_others_feelings,1,0.023276130690662,-0.0633420244689953,0.109894285850319,-0.0494161166149141,0.0959683779962381
unemployed,sympathisze_w_others_feelings,2,0.031468933485017,-0.041390883413585,0.104328750383619,-0.0296769523730895,0.0926148193431235
unemployed,not_interested_in_others_problems,0,0.162234999807132,0.040455590490521,0.284014409123743,0.0600344978170701,0.264435501797194
unemployed,not_interested_in_others_problems,1,0.129097542544653,0.0260850731938392,0.232110011895468,0.0426467530559492,0.215548332033358
unemployed,not_interested_in_others_problems,2,0.127295943853374,-0.0040793950540548,0.258671282760803,0.0170422838890181,0.23754960381773
unemployed,talk_to_different_people_parties,0,0.0417312960822813,-0.0616156980521973,0.14507829021676,-0.0450002354547748,0.128462827619337
unemployed,talk_to_different_people_parties,1,0.117229187510051,0.0331282836382851,0.201330091381817,0.0466494840795136,0.187808890940589
unemployed,talk_to_different_people_parties,2,-0.0230031310039519,-0.110683235802752,0.0646769737948481,-0.096586594540725,0.0505803325328211
unemployed,not_interested_in_others,0,0.0546638718144216,-0.062557103393554,0.171884847022397,-0.0437110716776521,0.153038815306495
unemployed,not_interested_in_others,1,0.0462778406831488,-0.0443801931771983,0.136935874543496,-0.0298047797036107,0.122360461069908
unemployed,not_interested_in_others,2,0.136541472709492,0.0449677377519014,0.228115207667083,0.0596903717369233,0.213392573682061
unemployed,feel_others_emotions,0,0.00224626977601783,-0.0820363007805647,0.0865288403326003,-0.0684858931424355,0.0729784326944712
unemployed,feel_others_emotions,1,0.111194444913895,0.0546033393155393,0.167785550512251,0.0637016919700223,0.158687197857768
unemployed,feel_others_emotions,2,-0.0288417198209249,-0.113978613042252,0.0562951734004026,-0.10029085292086,0.0426074132790099
unemployed,importance_open_minded,0,0.186551073219754,0.0204597666379167,0.352642379801591,0.0471628547671811,0.325939291672326
unemployed,importance_open_minded,1,-0.0951067265813188,-0.229212959327197,0.038999506164559,-0.207652224901085,0.0174387717384477
unemployed,importance_open_minded,2,0.075056535934166,-0.056259598428895,0.206372670297227,-0.0351474380102918,0.185260509878624
unemployed,feel_connected_to_others,0,0.0418720442243,-0.0400721877671252,0.123816276215725,-0.0268977231091947,0.110641811557795
unemployed,feel_connected_to_others,1,0.020368735551507,-0.0519130316406152,0.0926505027436292,-0.0402920357005346,0.0810295068035486
unemployed,feel_connected_to_others,2,-0.0870623303114422,-0.168990282207797,-0.00513437841508768,-0.155818434958461,-0.0183062256644231
income_cat_decrease,little_concern_for_others,0,-0.0712207475529318,-0.14038309816969,-0.00205839693617399,-0.129263621890319,-0.0131778732155444
income_cat_decrease,little_concern_for_others,1,-0.094528887067347,-0.16403580395443,-0.0250219701802638,-0.152860930534341,-0.0361968436003529
income_cat_decrease,little_concern_for_others,2,-0.0817348466165046,-0.147942542089907,-0.0155271511431023,-0.137298096191767,-0.0261715970412424
income_cat_decrease,intersted_in_others,0,0.000731820397649125,-0.0429408547350402,0.0444044955303384,-0.0359194439405244,0.0373830847358226
income_cat_decrease,intersted_in_others,1,-0.0399634778161388,-0.0836611294050443,0.00373417377276682,-0.0766357030571247,-0.00329125257515282
income_cat_decrease,intersted_in_others,2,0.0633737418558345,0.0216149403989394,0.105132543312729,0.0283286509381873,0.0984188327734816
income_cat_decrease,comfy_around_people,0,0.0162537260654085,-0.0237313803715661,0.0562388325023832,-0.0173028330681679,0.049810285198985
income_cat_decrease,comfy_around_people,1,-0.0821392300879747,-0.125345394965813,-0.0389330652101367,-0.118398986678682,-0.0458794734972674
income_cat_decrease,comfy_around_people,2,-0.00297334355883153,-0.0422777682969426,0.0363310811792796,-0.0359586566031907,0.0300119694855276
