treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,partisan_affect,0,0.0563393471109819,-0.00838052291579441,0.121059217137758,0.00202472001116162,0.110653974210802
unemployed,partisan_affect,1,0.0839862814370424,0.0109491172976335,0.157023445576451,0.0226915610827044,0.14528100179138
unemployed,spread,0,-0.0243698544969227,-0.0603478256173066,0.0116081166234612,-0.0545635196634825,0.00582381066963709
unemployed,spread,1,0.00981143421632191,-0.0315132088387306,0.0511360772713744,-0.0248692994847769,0.0444921679174207
unemployed,distance,0,0.0237134696721235,-0.0530526636776438,0.100479603021891,-0.0407107002939571,0.0881376396382041
unemployed,distance,1,0.0629671281731329,-0.0225254505440265,0.148459706890292,-0.00878050560461431,0.13471476195088
unemployed,like_max,0,0.00311883710563548,-0.0627307502746058,0.0689684244858768,-0.0521438786840456,0.0583815528953166
unemployed,like_max,1,-0.0340472276969212,-0.108755984931557,0.040661529537715,-0.0967447931990067,0.0286503378051643
unemployed,like_min,0,-0.0135088686533709,-0.0822615854938161,0.0552438481870743,-0.0712079674887571,0.0441902301820153
unemployed,like_min,1,-0.0292465893259287,-0.103205417550485,0.0447122388986275,-0.0913147945632765,0.0328216159114192
income_cat_decrease,partisan_affect,0,0.046832173902538,0.0106134269740188,0.0830509208310572,0.0164364433080329,0.0772279044970431
income_cat_decrease,partisan_affect,1,-0.0265079537114909,-0.0672388594409496,0.0142229520179678,-0.0606904073415461,0.00767449991856428
income_cat_decrease,spread,0,0.0372266467945157,0.0172234440721999,0.0572298495168315,0.0204394298823805,0.0540138637066509
income_cat_decrease,spread,1,0.018141157415016,-0.00335725836589276,0.0396395731959247,9.91181480358289e-05,0.0361831966819961
income_cat_decrease,distance,0,0.0495511546402786,0.00973320032630681,0.0893691089542505,0.0161348739903593,0.082967435290198
income_cat_decrease,distance,1,0.0312608594300128,-0.0129444214203708,0.0754661402803964,-0.00583738171660971,0.0683591005766353
income_cat_decrease,like_max,0,0.0798012200866202,0.0453406286782464,0.114261811494994,0.050880980116875,0.108721460056365
income_cat_decrease,like_max,1,0.037172226834313,-0.000193004552790151,0.0745374582214161,0.00581433615175508,0.0685301175168708
income_cat_decrease,like_min,0,0.0280231579112139,-0.00996671827280281,0.0660130340952306,-0.00385895120998064,0.0599052670324085
income_cat_decrease,like_min,1,0.0494781564916363,0.00838439598063144,0.0905719170026413,0.0149911855295328,0.0839651274537399
income_cat_2p_decrease,partisan_affect,0,-0.058459016662567,-0.1225988964774,0.00568086315226578,-0.112286900632801,-0.00463113269233313
income_cat_2p_decrease,partisan_affect,1,-0.177991083808466,-0.256775868859296,-0.0992062987576361,-0.244109359685796,-0.111872807931136
income_cat_2p_decrease,spread,0,0.0206799395720505,-0.0163759705320346,0.0577358496761355,-0.0104183605066602,0.0517782396507611
income_cat_2p_decrease,spread,1,0.0180271307101419,-0.0230235473678631,0.059077808788147,-0.0164236843344362,0.0524779457547201
income_cat_2p_decrease,distance,0,0.0458710232936164,-0.0272904915280798,0.119032538115313,-0.0155280554430122,0.107270102030245
income_cat_2p_decrease,distance,1,0.0205560413092608,-0.063418085827169,0.104530168445691,-0.049917267731086,0.0910293503496077
income_cat_2p_decrease,like_max,0,0.0210753608105708,-0.0405768156041511,0.0827275372252927,-0.0306647766537434,0.072815498274885
income_cat_2p_decrease,like_max,1,-0.0535309359274378,-0.129451569753498,0.0223896978986221,-0.117245540325413,0.0101836684705377
income_cat_2p_decrease,like_min,0,0.0110692942256331,-0.0576294442126727,0.0797680326639389,-0.0465845045066714,0.0687230929579376
income_cat_2p_decrease,like_min,1,0.0493570556479069,-0.0255368175632749,0.124250928859089,-0.0134958640789651,0.112209975374779
income_hh_25p_decrease,partisan_affect,0,-0.00934705809007851,-0.0517938910882927,0.0330997749081357,-0.0449695632791729,0.0262754470990159
income_hh_25p_decrease,partisan_affect,1,-0.0765234151592758,-0.127892679566719,-0.0251541507518329,-0.119633860831185,-0.0334129694873671
income_hh_25p_decrease,spread,0,0.0271225409425389,0.000116747719110053,0.0541283341659677,0.00445856482734377,0.049786517057734
income_hh_25p_decrease,spread,1,0.0357169337185813,0.00738296936941361,0.0640508980677489,0.0119383212577105,0.0594955461794521
income_hh_25p_decrease,distance,0,0.00286494640083511,-0.046724730143435,0.0524546229451052,-0.0387520220570494,0.0444819148587196
income_hh_25p_decrease,distance,1,0.0672604894229863,0.0120053875925377,0.122515591253435,0.0208889461853106,0.113632032660662
income_hh_25p_decrease,like_max,0,0.0171139640383299,-0.0253350331452119,0.0595629612218716,-0.0185103573923452,0.052738285469005
income_hh_25p_decrease,like_max,1,0.00202880735813853,-0.0476352521758661,0.0516928668921431,-0.0396505852725437,0.0437081999888208
income_hh_25p_decrease,like_min,0,0.0249197725455216,-0.0228132677426097,0.0726528128336528,-0.0151390576486355,0.0649786027396786
income_hh_25p_decrease,like_min,1,-0.0138499328798574,-0.064181865799047,0.0364820000393322,-0.0560898225240721,0.0283899567643573
