t,covariate,covbal,treatment,outcome
-3,age_cat,-0.0952475786076905,unemployed,little_concern_for_others
-3,male,0.0436268794239397,unemployed,little_concern_for_others
-3,education_cat,-0.0708056905309287,unemployed,little_concern_for_others
-3,partner,-0.0616484373494093,unemployed,little_concern_for_others
-3,no_children_hh,0.0463668193514305,unemployed,little_concern_for_others
-3,l1_net_monthly_income_cat,0.412335724012472,unemployed,little_concern_for_others
-3,little_concern_for_others,0.149482222007344,unemployed,little_concern_for_others
-2,age_cat,0.0606436788983811,unemployed,little_concern_for_others
-2,male,0.0375585035130995,unemployed,little_concern_for_others
-2,education_cat,0.0440952160115626,unemployed,little_concern_for_others
-2,partner,-0.0737607949784605,unemployed,little_concern_for_others
-2,no_children_hh,0.0682483287501616,unemployed,little_concern_for_others
-2,l1_net_monthly_income_cat,0.295307554631498,unemployed,little_concern_for_others
-2,little_concern_for_others,2.07185572549867,unemployed,little_concern_for_others
-1,age_cat,0.023241310392458,unemployed,little_concern_for_others
-1,male,0.00374311650490999,unemployed,little_concern_for_others
-1,education_cat,0.00269234009358958,unemployed,little_concern_for_others
-1,partner,-0.104362742434016,unemployed,little_concern_for_others
-1,no_children_hh,0.0321160790031471,unemployed,little_concern_for_others
-1,l1_net_monthly_income_cat,0.212480161515131,unemployed,little_concern_for_others
-1,little_concern_for_others,-0.00660165342602055,unemployed,little_concern_for_others
-3,age_cat,-0.111380559331685,unemployed,comfy_around_people
-3,male,0.0414380581369178,unemployed,comfy_around_people
-3,education_cat,-0.0855329752831523,unemployed,comfy_around_people
-3,partner,-0.0951679058375691,unemployed,comfy_around_people
-3,no_children_hh,0.0521527681752616,unemployed,comfy_around_people
-3,l1_net_monthly_income_cat,0.406618934108439,unemployed,comfy_around_people
-3,comfy_around_people,0.236666392404303,unemployed,comfy_around_people
-2,age_cat,0.0542062607338487,unemployed,comfy_around_people
-2,male,0.0347395821903966,unemployed,comfy_around_people
-2,education_cat,0.0415207751412597,unemployed,comfy_around_people
-2,partner,-0.0990413739120222,unemployed,comfy_around_people
-2,no_children_hh,0.0646176825136016,unemployed,comfy_around_people
-2,l1_net_monthly_income_cat,0.320272377389211,unemployed,comfy_around_people
-2,comfy_around_people,3.27640909747469,unemployed,comfy_around_people
-1,age_cat,0.0156402513193187,unemployed,comfy_around_people
-1,male,0.0031584447876887,unemployed,comfy_around_people
-1,education_cat,-0.000751862282497837,unemployed,comfy_around_people
-1,partner,-0.124475846717081,unemployed,comfy_around_people
-1,no_children_hh,0.0308906524487446,unemployed,comfy_around_people
-1,l1_net_monthly_income_cat,0.229842723475085,unemployed,comfy_around_people
-1,comfy_around_people,0.0244622192129013,unemployed,comfy_around_people
-3,age_cat,-0.105484585112882,unemployed,sympathisze_w_others_feelings
-3,male,0.0293224149412207,unemployed,sympathisze_w_others_feelings
-3,education_cat,-0.0806188138820348,unemployed,sympathisze_w_others_feelings
-3,partner,-0.0738887255824344,unemployed,sympathisze_w_others_feelings
-3,no_children_hh,0.0470086051936856,unemployed,sympathisze_w_others_feelings
-3,l1_net_monthly_income_cat,0.392987991385037,unemployed,sympathisze_w_others_feelings
-3,sympathisze_w_others_feelings,0.213577278430929,unemployed,sympathisze_w_others_feelings
-2,age_cat,0.0509714378850718,unemployed,sympathisze_w_others_feelings
-2,male,0.0350708562790029,unemployed,sympathisze_w_others_feelings
-2,education_cat,0.0496766317782911,unemployed,sympathisze_w_others_feelings
-2,partner,-0.0839768635326348,unemployed,sympathisze_w_others_feelings
-2,no_children_hh,0.0639495044720817,unemployed,sympathisze_w_others_feelings
-2,l1_net_monthly_income_cat,0.306819814174524,unemployed,sympathisze_w_others_feelings
-2,sympathisze_w_others_feelings,4.19216802742503,unemployed,sympathisze_w_others_feelings
-1,age_cat,0.0127753238202002,unemployed,sympathisze_w_others_feelings
-1,male,0.00308681808015819,unemployed,sympathisze_w_others_feelings
-1,education_cat,0.00764097045489897,unemployed,sympathisze_w_others_feelings
-1,partner,-0.105345771729596,unemployed,sympathisze_w_others_feelings
-1,no_children_hh,0.0316016643784703,unemployed,sympathisze_w_others_feelings
-1,l1_net_monthly_income_cat,0.216732769749096,unemployed,sympathisze_w_others_feelings
-1,sympathisze_w_others_feelings,-0.00453241231411118,unemployed,sympathisze_w_others_feelings
-3,age_cat,-0.192701638053917,unemployed,talk_to_different_people_parties
-3,male,-0.0190502364883454,unemployed,talk_to_different_people_parties
-3,education_cat,-0.0822019315473554,unemployed,talk_to_different_people_parties
-3,partner,-0.0499193983651214,unemployed,talk_to_different_people_parties
-3,no_children_hh,0.0582108135100444,unemployed,talk_to_different_people_parties
-3,l1_net_monthly_income_cat,0.335764979212071,unemployed,talk_to_different_people_parties
-3,talk_to_different_people_parties,0.101059435290938,unemployed,talk_to_different_people_parties
-2,age_cat,-0.00628899043956033,unemployed,talk_to_different_people_parties
-2,male,-0.0191590721092311,unemployed,talk_to_different_people_parties
-2,education_cat,0.0504377097722159,unemployed,talk_to_different_people_parties
-2,partner,-0.038376166606435,unemployed,talk_to_different_people_parties
-2,no_children_hh,0.0683601909822293,unemployed,talk_to_different_people_parties
-2,l1_net_monthly_income_cat,0.186828985036819,unemployed,talk_to_different_people_parties
-2,talk_to_different_people_parties,3.12955489280492,unemployed,talk_to_different_people_parties
-1,age_cat,-0.0401015340225518,unemployed,talk_to_different_people_parties
-1,male,-0.0498795001940413,unemployed,talk_to_different_people_parties
-1,education_cat,0.00729054572792462,unemployed,talk_to_different_people_parties
-1,partner,-0.0704258264346514,unemployed,talk_to_different_people_parties
-1,no_children_hh,0.0305838316322993,unemployed,talk_to_different_people_parties
-1,l1_net_monthly_income_cat,0.113518869181192,unemployed,talk_to_different_people_parties
-1,talk_to_different_people_parties,-0.0595231847089891,unemployed,talk_to_different_people_parties
-3,age_cat,-0.200931132846287,unemployed,feel_others_emotions
-3,male,-0.0238311698591942,unemployed,feel_others_emotions
-3,education_cat,-0.0971074172853137,unemployed,feel_others_emotions
-3,partner,-0.0537389849158965,unemployed,feel_others_emotions
-3,no_children_hh,0.0574019762437725,unemployed,feel_others_emotions
-3,l1_net_monthly_income_cat,0.342862934844182,unemployed,feel_others_emotions
-3,feel_others_emotions,0.177927988095566,unemployed,feel_others_emotions
-2,age_cat,-0.0131272263448565,unemployed,feel_others_emotions
-2,male,-0.0113647120059796,unemployed,feel_others_emotions
-2,education_cat,0.0441191337430881,unemployed,feel_others_emotions
-2,partner,-0.041194712155194,unemployed,feel_others_emotions
-2,no_children_hh,0.0706336205080135,unemployed,feel_others_emotions
-2,l1_net_monthly_income_cat,0.20475106084631,unemployed,feel_others_emotions
-2,feel_others_emotions,4.02694355063488,unemployed,feel_others_emotions
-1,age_cat,-0.0494467636611086,unemployed,feel_others_emotions
-1,male,-0.0427066619397933,unemployed,feel_others_emotions
-1,education_cat,-0.00109233180466642,unemployed,feel_others_emotions
-1,partner,-0.0688490491760256,unemployed,feel_others_emotions
-1,no_children_hh,0.0341964698392631,unemployed,feel_others_emotions
-1,l1_net_monthly_income_cat,0.127113840559447,unemployed,feel_others_emotions
-1,feel_others_emotions,-0.0331083454884359,unemployed,feel_others_emotions
-3,age_cat,-0.0632970951894192,unemployed,feel_connected_to_others
-3,male,-0.0153454310640488,unemployed,feel_connected_to_others
-3,education_cat,-0.0654347975946706,unemployed,feel_connected_to_others
-3,partner,0.0176907393126711,unemployed,feel_connected_to_others
-3,no_children_hh,0.119783077702646,unemployed,feel_connected_to_others
-3,l1_net_monthly_income_cat,0.336192912835777,unemployed,feel_connected_to_others
-3,feel_connected_to_others,0.198823382943979,unemployed,feel_connected_to_others
-2,age_cat,-0.0416136593928776,unemployed,feel_connected_to_others
-2,male,-0.0331290385172418,unemployed,feel_connected_to_others
-2,education_cat,-0.0163347272929449,unemployed,feel_connected_to_others
-2,partner,0.0387486264145818,unemployed,feel_connected_to_others
-2,no_children_hh,0.0970045721586022,unemployed,feel_connected_to_others
-2,l1_net_monthly_income_cat,0.173728978164338,unemployed,feel_connected_to_others
-2,feel_connected_to_others,0.278793481214142,unemployed,feel_connected_to_others
-1,age_cat,-0.0291017520285035,unemployed,feel_connected_to_others
-1,male,-0.0138401841816559,unemployed,feel_connected_to_others
-1,education_cat,-0.0013134610899989,unemployed,feel_connected_to_others
-1,partner,0.00479774669678019,unemployed,feel_connected_to_others
-1,no_children_hh,0.0349000039564351,unemployed,feel_connected_to_others
-1,l1_net_monthly_income_cat,0.124988949357349,unemployed,feel_connected_to_others
-1,feel_connected_to_others,-0.00189490166121592,unemployed,feel_connected_to_others
-3,age_cat,-0.0263014339958687,income_cat_decrease,little_concern_for_others
-3,male,0.0337092501305118,income_cat_decrease,little_concern_for_others
-3,education_cat,0.0320650969513855,income_cat_decrease,little_concern_for_others
-3,partner,-0.0674746354389361,income_cat_decrease,little_concern_for_others
-3,no_children_hh,0.0698640804710927,income_cat_decrease,little_concern_for_others
-3,l1_net_monthly_income_cat,-0.202326640462674,income_cat_decrease,little_concern_for_others
-3,little_concern_for_others,0.116936726694812,income_cat_decrease,little_concern_for_others
-2,age_cat,-0.0124458568211427,income_cat_decrease,little_concern_for_others
-2,male,-3.00260209971086e-05,income_cat_decrease,little_concern_for_others
-2,education_cat,0.00529061961737657,income_cat_decrease,little_concern_for_others
-2,partner,-0.040393373913007,income_cat_decrease,little_concern_for_others
-2,no_children_hh,0.0355935000422237,income_cat_decrease,little_concern_for_others
-2,l1_net_monthly_income_cat,-0.135970499933651,income_cat_decrease,little_concern_for_others
-2,little_concern_for_others,0.8392307654684,income_cat_decrease,little_concern_for_others
-1,age_cat,-0.0200756270260547,income_cat_decrease,little_concern_for_others
-1,male,-0.00781372126308907,income_cat_decrease,little_concern_for_others
-1,education_cat,-0.0167089342502322,income_cat_decrease,little_concern_for_others
-1,partner,-0.0714612640790515,income_cat_decrease,little_concern_for_others
-1,no_children_hh,0.0283417842163192,income_cat_decrease,little_concern_for_others
-1,l1_net_monthly_income_cat,-0.122013833200958,income_cat_decrease,little_concern_for_others
-1,little_concern_for_others,0.00660465675289347,income_cat_decrease,little_concern_for_others
-3,age_cat,-0.0281581269362188,income_cat_decrease,comfy_around_people
-3,male,0.0335230600252456,income_cat_decrease,comfy_around_people
-3,education_cat,0.0340064598320841,income_cat_decrease,comfy_around_people
-3,partner,-0.0692581485251996,income_cat_decrease,comfy_around_people
-3,no_children_hh,0.0705916615407159,income_cat_decrease,comfy_around_people
-3,l1_net_monthly_income_cat,-0.206213837072892,income_cat_decrease,comfy_around_people
-3,comfy_around_people,0.257050381035989,income_cat_decrease,comfy_around_people
-2,age_cat,-0.0143334399196447,income_cat_decrease,comfy_around_people
-2,male,0.00157992070329674,income_cat_decrease,comfy_around_people
-2,education_cat,0.00873335717715921,income_cat_decrease,comfy_around_people
-2,partner,-0.0431769105033536,income_cat_decrease,comfy_around_people
-2,no_children_hh,0.0351888852703664,income_cat_decrease,comfy_around_people
-2,l1_net_monthly_income_cat,-0.138459602564597,income_cat_decrease,comfy_around_people
-2,comfy_around_people,2.5209030637624,income_cat_decrease,comfy_around_people
-1,age_cat,-0.0228049722505103,income_cat_decrease,comfy_around_people
-1,male,-0.00630703499705299,income_cat_decrease,comfy_around_people
-1,education_cat,-0.0143607005172139,income_cat_decrease,comfy_around_people
-1,partner,-0.0741160700714945,income_cat_decrease,comfy_around_people
-1,no_children_hh,0.0265820708534611,income_cat_decrease,comfy_around_people
-1,l1_net_monthly_income_cat,-0.121359375078127,income_cat_decrease,comfy_around_people
-1,comfy_around_people,0.0156206976623356,income_cat_decrease,comfy_around_people
-3,age_cat,-0.0285908816817461,income_cat_decrease,insult_people
-3,male,0.0407642782395356,income_cat_decrease,insult_people
-3,education_cat,0.0283256868455952,income_cat_decrease,insult_people
-3,partner,-0.0697079970510704,income_cat_decrease,insult_people
-3,no_children_hh,0.0761440726371472,income_cat_decrease,insult_people
-3,l1_net_monthly_income_cat,-0.214667445562859,income_cat_decrease,insult_people
-3,insult_people,0.123029341188236,income_cat_decrease,insult_people
-2,age_cat,-0.0131496548382083,income_cat_decrease,insult_people
-2,male,-0.000390274229305561,income_cat_decrease,insult_people
-2,education_cat,0.00719971748146707,income_cat_decrease,insult_people
-2,partner,-0.0405967969079483,income_cat_decrease,insult_people
-2,no_children_hh,0.0378225541993212,income_cat_decrease,insult_people
-2,l1_net_monthly_income_cat,-0.144702215163292,income_cat_decrease,insult_people
-2,insult_people,0.968979178175917,income_cat_decrease,insult_people
-1,age_cat,-0.0210497581922076,income_cat_decrease,insult_people
-1,male,-0.00818458280830555,income_cat_decrease,insult_people
-1,education_cat,-0.0169241658325305,income_cat_decrease,insult_people
-1,partner,-0.0716499021646536,income_cat_decrease,insult_people
-1,no_children_hh,0.0273210488308901,income_cat_decrease,insult_people
-1,l1_net_monthly_income_cat,-0.118726369645336,income_cat_decrease,insult_people
-1,insult_people,-0.00301128202185859,income_cat_decrease,insult_people
-3,age_cat,-0.0297026868559741,income_cat_decrease,sympathisze_w_others_feelings
-3,male,0.0242167624672629,income_cat_decrease,sympathisze_w_others_feelings
-3,education_cat,0.0402258675483464,income_cat_decrease,sympathisze_w_others_feelings
-3,partner,-0.0665710487266547,income_cat_decrease,sympathisze_w_others_feelings
-3,no_children_hh,0.0674785017908,income_cat_decrease,sympathisze_w_others_feelings
-3,l1_net_monthly_income_cat,-0.19493509930883,income_cat_decrease,sympathisze_w_others_feelings
-3,sympathisze_w_others_feelings,0.279584167499492,income_cat_decrease,sympathisze_w_others_feelings
-2,age_cat,-0.0145152062164916,income_cat_decrease,sympathisze_w_others_feelings
-2,male,0.000390902480690835,income_cat_decrease,sympathisze_w_others_feelings
-2,education_cat,0.00821070149823781,income_cat_decrease,sympathisze_w_others_feelings
-2,partner,-0.0417319268534271,income_cat_decrease,sympathisze_w_others_feelings
-2,no_children_hh,0.0351204163445189,income_cat_decrease,sympathisze_w_others_feelings
-2,l1_net_monthly_income_cat,-0.126963768473007,income_cat_decrease,sympathisze_w_others_feelings
-2,sympathisze_w_others_feelings,2.52597917226265,income_cat_decrease,sympathisze_w_others_feelings
-1,age_cat,-0.0215565796405608,income_cat_decrease,sympathisze_w_others_feelings
-1,male,-0.00753920108238653,income_cat_decrease,sympathisze_w_others_feelings
-1,education_cat,-0.0149124685795247,income_cat_decrease,sympathisze_w_others_feelings
-1,partner,-0.0733784471743565,income_cat_decrease,sympathisze_w_others_feelings
-1,no_children_hh,0.0295527395442392,income_cat_decrease,sympathisze_w_others_feelings
-1,l1_net_monthly_income_cat,-0.119289159974606,income_cat_decrease,sympathisze_w_others_feelings
-1,sympathisze_w_others_feelings,-0.0107392001932272,income_cat_decrease,sympathisze_w_others_feelings
-3,age_cat,-0.0272463991181731,income_cat_decrease,not_interested_in_others_problems
-3,male,0.0298242952679791,income_cat_decrease,not_interested_in_others_problems
-3,education_cat,0.0340068857832952,income_cat_decrease,not_interested_in_others_problems
-3,partner,-0.064811815884686,income_cat_decrease,not_interested_in_others_problems
-3,no_children_hh,0.0674438451004631,income_cat_decrease,not_interested_in_others_problems
-3,l1_net_monthly_income_cat,-0.205405795326593,income_cat_decrease,not_interested_in_others_problems
-3,not_interested_in_others_problems,0.135144681035406,income_cat_decrease,not_interested_in_others_problems
-2,age_cat,-0.0136297837286035,income_cat_decrease,not_interested_in_others_problems
-2,male,0.000705956501897331,income_cat_decrease,not_interested_in_others_problems
-2,education_cat,0.00399840859925101,income_cat_decrease,not_interested_in_others_problems
-2,partner,-0.0409120107167355,income_cat_decrease,not_interested_in_others_problems
-2,no_children_hh,0.0355395200104728,income_cat_decrease,not_interested_in_others_problems
-2,l1_net_monthly_income_cat,-0.138063649579007,income_cat_decrease,not_interested_in_others_problems
-2,not_interested_in_others_problems,0.946902290536699,income_cat_decrease,not_interested_in_others_problems
-1,age_cat,-0.0204780242390841,income_cat_decrease,not_interested_in_others_problems
-1,male,-0.00668264325739165,income_cat_decrease,not_interested_in_others_problems
-1,education_cat,-0.018012802719846,income_cat_decrease,not_interested_in_others_problems
-1,partner,-0.070952574147569,income_cat_decrease,not_interested_in_others_problems
-1,no_children_hh,0.0287849008253965,income_cat_decrease,not_interested_in_others_problems
-1,l1_net_monthly_income_cat,-0.122737385673224,income_cat_decrease,not_interested_in_others_problems
-1,not_interested_in_others_problems,0.00639392701816003,income_cat_decrease,not_interested_in_others_problems
-3,age_cat,-0.0232658222191749,income_cat_decrease,talk_to_different_people_parties
-3,male,0.0329037984067201,income_cat_decrease,talk_to_different_people_parties
-3,education_cat,0.0283971411783362,income_cat_decrease,talk_to_different_people_parties
-3,partner,-0.0661036546281804,income_cat_decrease,talk_to_different_people_parties
-3,no_children_hh,0.0722762281590163,income_cat_decrease,talk_to_different_people_parties
-3,l1_net_monthly_income_cat,-0.194863671106461,income_cat_decrease,talk_to_different_people_parties
-3,talk_to_different_people_parties,0.15650882521642,income_cat_decrease,talk_to_different_people_parties
-2,age_cat,-0.0160657035074865,income_cat_decrease,talk_to_different_people_parties
