t,covariate,covbal,treatment,outcome
-2,age_cat,-0.0248978902807686,unemployed,generalized_trust
-2,male,-0.0134027154368546,unemployed,generalized_trust
-2,education_cat,0.0245390608980209,unemployed,generalized_trust
-2,partner,-0.0163623032539192,unemployed,generalized_trust
-2,no_children_hh,0.0458313478241133,unemployed,generalized_trust
-2,l1_net_monthly_income_cat,0.382155698922931,unemployed,generalized_trust
-2,generalized_trust,0.152106691931352,unemployed,generalized_trust
-1,age_cat,-0.0150062626130348,unemployed,generalized_trust
-1,male,-0.000692241267463547,unemployed,generalized_trust
-1,education_cat,0.0214008601358951,unemployed,generalized_trust
-1,partner,-0.00600522765623115,unemployed,generalized_trust
-1,no_children_hh,0.00331192892154322,unemployed,generalized_trust
-1,l1_net_monthly_income_cat,0.166401934867177,unemployed,generalized_trust
-1,generalized_trust,0.015741199752935,unemployed,generalized_trust
-2,age_cat,-0.0147445901559289,income_cat_decrease,generalized_trust
-2,male,0.00440953235378309,income_cat_decrease,generalized_trust
-2,education_cat,-0.00256580051872483,income_cat_decrease,generalized_trust
-2,partner,-0.0254869723136022,income_cat_decrease,generalized_trust
-2,no_children_hh,0.0133588770111031,income_cat_decrease,generalized_trust
-2,l1_net_monthly_income_cat,-0.117627218951779,income_cat_decrease,generalized_trust
-2,generalized_trust,0.116901604214517,income_cat_decrease,generalized_trust
-1,age_cat,-0.0192869539455389,income_cat_decrease,generalized_trust
-1,male,-0.00308146608811466,income_cat_decrease,generalized_trust
-1,education_cat,0.00328124126708487,income_cat_decrease,generalized_trust
-1,partner,-0.0338530590361685,income_cat_decrease,generalized_trust
-1,no_children_hh,0.00643084392562485,income_cat_decrease,generalized_trust
-1,l1_net_monthly_income_cat,-0.0696253873766268,income_cat_decrease,generalized_trust
-1,generalized_trust,0.000819371990582049,income_cat_decrease,generalized_trust
-2,age_cat,-0.0226802220744605,income_cat_2p_decrease,generalized_trust
-2,male,0.0116460072699802,income_cat_2p_decrease,generalized_trust
-2,education_cat,-0.0288075200822529,income_cat_2p_decrease,generalized_trust
-2,partner,-0.0419081711909571,income_cat_2p_decrease,generalized_trust
-2,no_children_hh,0.0419027080089312,income_cat_2p_decrease,generalized_trust
-2,l1_net_monthly_income_cat,-0.187474824251737,income_cat_2p_decrease,generalized_trust
-2,generalized_trust,0.112686303489541,income_cat_2p_decrease,generalized_trust
-1,age_cat,-0.0402553382156732,income_cat_2p_decrease,generalized_trust
-1,male,0.000992248165066708,income_cat_2p_decrease,generalized_trust
-1,education_cat,-0.0204132016992699,income_cat_2p_decrease,generalized_trust
-1,partner,-0.0489896505481194,income_cat_2p_decrease,generalized_trust
-1,no_children_hh,0.0100165683862761,income_cat_2p_decrease,generalized_trust
-1,l1_net_monthly_income_cat,-0.088369677499561,income_cat_2p_decrease,generalized_trust
-1,generalized_trust,0.00150301576980565,income_cat_2p_decrease,generalized_trust
-2,age_cat,-0.00784130610481397,income_hh_25p_decrease,generalized_trust
-2,male,0.00685054936332338,income_hh_25p_decrease,generalized_trust
-2,education_cat,-0.0284662323291347,income_hh_25p_decrease,generalized_trust
-2,partner,0.365680002494265,income_hh_25p_decrease,generalized_trust
-2,no_children_hh,0.451076404657806,income_hh_25p_decrease,generalized_trust
-2,l1_net_monthly_income_cat,-0.0419445152356929,income_hh_25p_decrease,generalized_trust
-2,generalized_trust,0.11899923100478,income_hh_25p_decrease,generalized_trust
-1,age_cat,-0.0135077166540779,income_hh_25p_decrease,generalized_trust
-1,male,0.00116816478967698,income_hh_25p_decrease,generalized_trust
-1,education_cat,-0.0185539759289513,income_hh_25p_decrease,generalized_trust
-1,partner,0.355829150457591,income_hh_25p_decrease,generalized_trust
-1,no_children_hh,0.452920922026257,income_hh_25p_decrease,generalized_trust
-1,l1_net_monthly_income_cat,-0.0255248164602544,income_hh_25p_decrease,generalized_trust
-1,generalized_trust,0.000291774717263748,income_hh_25p_decrease,generalized_trust
