t,covariate,covbal,treatment,outcome
-2,age_cat,-0.048613353858477,unemployed,partisan_affect
-2,male,-0.0261017193878451,unemployed,partisan_affect
-2,education_cat,0.0499596038536205,unemployed,partisan_affect
-2,partner,-0.0452280053278102,unemployed,partisan_affect
-2,no_children_hh,0.113440233130339,unemployed,partisan_affect
-2,l1_net_monthly_income_cat,0.351776476448608,unemployed,partisan_affect
-2,partisan_affect,0.348324691991164,unemployed,partisan_affect
-1,age_cat,-0.0969846182497242,unemployed,partisan_affect
-1,male,-0.018319814815333,unemployed,partisan_affect
-1,education_cat,0.0384639854138296,unemployed,partisan_affect
-1,partner,-0.017746724125825,unemployed,partisan_affect
-1,no_children_hh,0.0293369269698732,unemployed,partisan_affect
-1,l1_net_monthly_income_cat,0.136613850933156,unemployed,partisan_affect
-1,partisan_affect,0.0149490177777235,unemployed,partisan_affect
0,age_cat,-0.0104046101073201,unemployed,partisan_affect
0,male,-0.018319814815333,unemployed,partisan_affect
0,education_cat,0.0365597829692011,unemployed,partisan_affect
0,partner,0.0124696659102494,unemployed,partisan_affect
0,no_children_hh,0.00810194956624693,unemployed,partisan_affect
0,l1_net_monthly_income_cat,0.0794713818389642,unemployed,partisan_affect
0,partisan_affect,0.087478747763013,unemployed,partisan_affect
-2,age_cat,-0.0159441612980812,unemployed,spread
-2,male,-0.0148374993756756,unemployed,spread
-2,education_cat,0.0375341205793798,unemployed,spread
-2,partner,-0.0141133208559862,unemployed,spread
-2,no_children_hh,0.0413830768881645,unemployed,spread
-2,l1_net_monthly_income_cat,0.350077297775746,unemployed,spread
-2,spread,0.145507446158914,unemployed,spread
-1,age_cat,-0.0394162450308538,unemployed,spread
-1,male,-0.00192891238138942,unemployed,spread
-1,education_cat,0.0236486621808994,unemployed,spread
-1,partner,-0.00658335738144185,unemployed,spread
-1,no_children_hh,0.00209862647558437,unemployed,spread
-1,l1_net_monthly_income_cat,0.183058997126693,unemployed,spread
-1,spread,0.0292581431073277,unemployed,spread
0,age_cat,-0.00473024127809903,unemployed,spread
0,male,-0.00203084840630153,unemployed,spread
0,education_cat,0.0110383819579206,unemployed,spread
0,partner,0.0023864097324617,unemployed,spread
0,no_children_hh,-0.0010751655852287,unemployed,spread
0,l1_net_monthly_income_cat,0.143847901030643,unemployed,spread
0,spread,0.0224737456186493,unemployed,spread
-2,age_cat,-0.0170588515845682,unemployed,distance
-2,male,-0.0150874208759945,unemployed,distance
-2,education_cat,0.0378321510359341,unemployed,distance
-2,partner,-0.0145392017516293,unemployed,distance
-2,no_children_hh,0.0412913324200791,unemployed,distance
-2,l1_net_monthly_income_cat,0.349481447146039,unemployed,distance
-2,distance,0.123089420987575,unemployed,distance
-1,age_cat,-0.0391782502098587,unemployed,distance
-1,male,-0.00184133133215804,unemployed,distance
-1,education_cat,0.0241099006559342,unemployed,distance
-1,partner,-0.00705855089560477,unemployed,distance
-1,no_children_hh,0.00152182325325204,unemployed,distance
-1,l1_net_monthly_income_cat,0.182935874181744,unemployed,distance
-1,distance,0.0227407408619786,unemployed,distance
0,age_cat,-0.00426421563907483,unemployed,distance
0,male,-0.00194190432216457,unemployed,distance
0,education_cat,0.0115697949242979,unemployed,distance
0,partner,0.00221340669231389,unemployed,distance
0,no_children_hh,-0.00169024033013721,unemployed,distance
0,l1_net_monthly_income_cat,0.144632084424062,unemployed,distance
0,distance,0.0454743009229047,unemployed,distance
-2,age_cat,-0.00793519879476463,unemployed,like_max
-2,male,-0.0133883213843777,unemployed,like_max
-2,education_cat,0.02295619377711,unemployed,like_max
-2,partner,-0.00140284218353321,unemployed,like_max
-2,no_children_hh,0.0525410257082826,unemployed,like_max
-2,l1_net_monthly_income_cat,0.33068529078835,unemployed,like_max
-2,like_max,0.445821045117156,unemployed,like_max
-1,age_cat,-0.0384047781055495,unemployed,like_max
-1,male,-0.00395538607314822,unemployed,like_max
-1,education_cat,0.0135454369939403,unemployed,like_max
-1,partner,-0.00592614472181532,unemployed,like_max
-1,no_children_hh,0.0110047041708638,unemployed,like_max
-1,l1_net_monthly_income_cat,0.164979264484967,unemployed,like_max
-1,like_max,0.0223352164496049,unemployed,like_max
0,age_cat,0.00263255064664747,unemployed,like_max
0,male,-0.00406846771239231,unemployed,like_max
0,education_cat,0.0112017505824186,unemployed,like_max
0,partner,0.00505965665074638,unemployed,like_max
0,no_children_hh,-0.00624248945577325,unemployed,like_max
0,l1_net_monthly_income_cat,0.131828751688079,unemployed,like_max
0,like_max,0.000769205565780132,unemployed,like_max
-2,age_cat,-0.00798276146908466,unemployed,like_min
-2,male,-0.0126494588666561,unemployed,like_min
-2,education_cat,0.0226223032024832,unemployed,like_min
-2,partner,-0.00126088378578633,unemployed,like_min
-2,no_children_hh,0.0522708181503034,unemployed,like_min
-2,l1_net_monthly_income_cat,0.329973764373539,unemployed,like_min
-2,like_min,0.0502957711519949,unemployed,like_min
-1,age_cat,-0.0375804452035031,unemployed,like_min
-1,male,-0.00327450344650537,unemployed,like_min
-1,education_cat,0.0137102883239932,unemployed,like_min
-1,partner,-0.00526305938118253,unemployed,like_min
-1,no_children_hh,0.0110860140598064,unemployed,like_min
-1,l1_net_monthly_income_cat,0.165408994398566,unemployed,like_min
-1,like_min,-0.0133986828040386,unemployed,like_min
0,age_cat,0.00365990494037852,unemployed,like_min
0,male,-0.00339611337894276,unemployed,like_min
0,education_cat,0.0108407971449774,unemployed,like_min
0,partner,0.00584168160402288,unemployed,like_min
0,no_children_hh,-0.00612961342682292,unemployed,like_min
0,l1_net_monthly_income_cat,0.132535402761732,unemployed,like_min
0,like_min,-0.00965710056435448,unemployed,like_min
-2,age_cat,-0.0366674605219544,income_cat_decrease,partisan_affect
-2,male,-0.0113910963667513,income_cat_decrease,partisan_affect
-2,education_cat,-0.00222602407082627,income_cat_decrease,partisan_affect
-2,partner,-0.0350567666641163,income_cat_decrease,partisan_affect
-2,no_children_hh,0.0725556013984696,income_cat_decrease,partisan_affect
-2,l1_net_monthly_income_cat,-0.117835276662971,income_cat_decrease,partisan_affect
-2,partisan_affect,0.259750611447551,income_cat_decrease,partisan_affect
-1,age_cat,-0.0353346150620551,income_cat_decrease,partisan_affect
-1,male,-0.0105681969285081,income_cat_decrease,partisan_affect
-1,education_cat,0.00483601131187821,income_cat_decrease,partisan_affect
-1,partner,-0.0426202654330616,income_cat_decrease,partisan_affect
-1,no_children_hh,0.0493896612658367,income_cat_decrease,partisan_affect
-1,l1_net_monthly_income_cat,-0.0563921606589145,income_cat_decrease,partisan_affect
-1,partisan_affect,0.0233556734026093,income_cat_decrease,partisan_affect
0,age_cat,0.00669020452853761,income_cat_decrease,partisan_affect
0,male,-0.0105681969285081,income_cat_decrease,partisan_affect
0,education_cat,0.0112814457931392,income_cat_decrease,partisan_affect
0,partner,-0.00896622443899435,income_cat_decrease,partisan_affect
0,no_children_hh,8.09810327469634e-05,income_cat_decrease,partisan_affect
0,l1_net_monthly_income_cat,0.0139537300061057,income_cat_decrease,partisan_affect
0,partisan_affect,0.0598110184365221,income_cat_decrease,partisan_affect
-2,age_cat,-0.0254925893053955,income_cat_decrease,spread
-2,male,-0.00440778803869297,income_cat_decrease,spread
-2,education_cat,-0.00737611872967048,income_cat_decrease,spread
-2,partner,-0.0295822495140448,income_cat_decrease,spread
-2,no_children_hh,0.025844596467254,income_cat_decrease,spread
-2,l1_net_monthly_income_cat,-0.122801097382517,income_cat_decrease,spread
-2,spread,0.136459327968048,income_cat_decrease,spread
-1,age_cat,-0.0265500968263148,income_cat_decrease,spread
-1,male,-0.00516019748146736,income_cat_decrease,spread
-1,education_cat,0.0111823459839729,income_cat_decrease,spread
-1,partner,-0.0320379415889185,income_cat_decrease,spread
-1,no_children_hh,0.0138772024342395,income_cat_decrease,spread
-1,l1_net_monthly_income_cat,-0.0776609185286974,income_cat_decrease,spread
-1,spread,0.0166827514168019,income_cat_decrease,spread
