treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,distance_age_abs_mean,0,0.112099805891013,0.0373957049305295,0.186803906851496,0.0494061480573789,0.174793463724646
unemployed,distance_age_abs_mean,1,0.020014458984025,-0.0532232660904965,0.0932521840585466,-0.0414485774129276,0.0814774953809776
unemployed,distance_age_abs_mean,2,0.0393899764030843,-0.0473447014509451,0.126124654257114,-0.0334000598302331,0.112180012636402
unemployed,distance_age_abs_mean,-1,0,0,0,0,0
unemployed,distance_age_abs_mean,-2,0.0241872235431612,-0.0686669024589832,0.117041349545306,-0.0537384154669239,0.102112862553246
unemployed,distance_age_rel_mean,0,0.00862306199161636,0.00287659268696381,0.0143695312962689,0.00380047292749069,0.013445651055742
unemployed,distance_age_rel_mean,1,0.00153957376800191,-0.00409409739157667,0.0071732449275805,-0.00318835210868675,0.00626749964469058
unemployed,distance_age_rel_mean,2,0.00302999818485258,-0.00364190011161121,0.00970189648131638,-0.00256923537155645,0.00862923174126161
unemployed,distance_age_rel_mean,-1,0,0,0,0,0
unemployed,distance_age_rel_mean,-2,0.00186055565716625,-0.00528206941992178,0.00900318073425428,-0.00413372426668644,0.00785483558101895
unemployed,distance_gender_mean,0,0.00149646867903247,-0.0138646119928789,0.0168575493509439,-0.0113949566004055,0.0143878939584705
unemployed,distance_gender_mean,1,-0.0042200147652734,-0.0206892529035208,0.012249223372974,-0.0180414351069236,0.00960140557637681
unemployed,distance_gender_mean,2,0.000710126070768243,-0.0153124317682114,0.0167326839097478,-0.0127364283467457,0.0141566804882822
unemployed,distance_gender_mean,-1,0,0,0,0,0
unemployed,distance_gender_mean,-2,0.0141844456651654,-0.00406362478039014,0.032432516110721,-0.00112981780803905,0.0294987091383699
unemployed,distance_ethnicity_mean,0,0.00579612719436076,-0.00433355879251577,0.0159258131812373,-0.00270497326810688,0.0142972276568284
unemployed,distance_ethnicity_mean,1,0.002239904631834,-0.00763246351447494,0.0121122727781429,-0.00604524789144931,0.0105250571551173
unemployed,distance_ethnicity_mean,2,0.00965087744662269,-0.0029594370882476,0.022261191981493,-0.000932032118701704,0.0202337870119471
unemployed,distance_ethnicity_mean,-1,0,0,0,0,0
unemployed,distance_ethnicity_mean,-2,0.00248390759919316,-0.0137879714517146,0.0187557866501009,-0.011171883775199,0.0161396989735853
unemployed,distance_ethnicity_rel_mean,0,0.00386408479624051,-0.00288903919501051,0.0106172087874915,-0.00180331551207125,0.00953148510455227
unemployed,distance_ethnicity_rel_mean,1,0.001493269754556,-0.00508830900964995,0.00807484851876196,-0.0040301652609662,0.00701670477007821
unemployed,distance_ethnicity_rel_mean,2,0.00643391829774846,-0.00197295805883173,0.0148407946543286,-0.000621354745801139,0.0134891913412981
unemployed,distance_ethnicity_rel_mean,-1,0,0,0,0,0
unemployed,distance_ethnicity_rel_mean,-2,0.0016559383994621,-0.00919198096780972,0.0125038577667339,-0.0074479225167993,0.0107597993157235
unemployed,distance_education_mean,0,-0.004568321856342,-0.030193967864262,0.021057324151578,-0.0260740419162916,0.0169373982036076
unemployed,distance_education_mean,1,0.0162971385942314,-0.0103499972409871,0.0429442744294499,-0.00606584275244546,0.0386601199409083
unemployed,distance_education_mean,2,-0.0130468023735042,-0.0428095213654523,0.0167159166184439,-0.0380244635285033,0.0119308587814948
unemployed,distance_education_mean,-1,0,0,0,0,0
unemployed,distance_education_mean,-2,0.0613050408061511,0.029792555552002,0.0928175260603001,0.0348589295135981,0.0877511520987041
unemployed,distance_education_rel_mean,0,-0.001522773952114,-0.010064655954754,0.00701910805052601,-0.00869134730543053,0.00564579940120253
unemployed,distance_education_rel_mean,1,0.00543237953141047,-0.00344999908032904,0.01431475814315,-0.00202194758414849,0.0128867066469694
