treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,generalized_trust,0,-0.0149492184388622,-0.1054816305685,0.0755831936907761,-0.09092641374587,0.0610279768681456
unemployed,generalized_trust,1,0.0146916340015878,-0.0881908483861089,0.117574116389285,-0.0716500669888446,0.10103333499202
unemployed,generalized_trust,2,-0.028815430563559,-0.135745359114308,0.0781144979871899,-0.118553855449788,0.0609229943226696
unemployed,generalized_trust,-1,0,0,0,0,0
unemployed,generalized_trust,-2,-0.0927650724367991,-0.249167760244945,0.063637615371347,-0.224022345700705,0.0384922008271069
income_cat_decrease,generalized_trust,0,0.0160188440133798,-0.0295653274609211,0.0616030154876806,-0.0222365986235813,0.0542742866503408
income_cat_decrease,generalized_trust,1,0.0249829806009204,-0.0221879714268328,0.0721539326286736,-0.0146041302550027,0.0645700914568434
income_cat_decrease,generalized_trust,2,0.0158527832836907,-0.0316018336765386,0.06330740024392,-0.0239723866879623,0.0556779532553437
income_cat_decrease,generalized_trust,-1,0,0,0,0,0
income_cat_decrease,generalized_trust,-2,0.0293780123226716,-0.0285721300941176,0.0873281547394608,-0.0192552802727424,0.0780113049180857
income_cat_2p_decrease,generalized_trust,0,0.00541644823445917,-0.0686526537021088,0.0794855501710271,-0.0567443016193157,0.067577198088234
income_cat_2p_decrease,generalized_trust,1,0.0128785483982144,-0.0710295476389939,0.0967866444354227,-0.0575393455968035,0.0832964423932324
income_cat_2p_decrease,generalized_trust,2,-0.0593408775235761,-0.144499073874247,0.025817318827095,-0.130807888773233,0.0121261337260811
income_cat_2p_decrease,generalized_trust,-1,0,0,0,0,0
income_cat_2p_decrease,generalized_trust,-2,-0.202872327440269,-0.302949509979679,-0.10279514490086,-0.286859746583413,-0.118884908297125
income_hh_25p_decrease,generalized_trust,0,0.0706268889537461,0.0131022989070462,0.128151479000446,0.0223507311653593,0.118903046742133
income_hh_25p_decrease,generalized_trust,1,0.0882441191625442,0.0245164772117858,0.151971761113303,0.0347621961136528,0.141726042211436
income_hh_25p_decrease,generalized_trust,2,0.0680927489338144,0.00440718664230828,0.131778311225321,0.0146461402481909,0.121539357619438
income_hh_25p_decrease,generalized_trust,-1,0,0,0,0,0
income_hh_25p_decrease,generalized_trust,-2,-0.0891616067448858,-0.161003251624364,-0.0173199618654075,-0.149453015708658,-0.0288701977811132
